jobseeker_id,name,age,gender,education_level,job_role,industry,location,employer_id,employer,placement_status,placement_date,salary
JS10043,Lisa Kirby,25,Female,Masters,Accountant,Finance,Chicago,EMP10082,Sandoval-Cunningham,Placed,2024-10-15,95600
JS10044,Scott Miller,43,Male,PhD,Supply Chain Analyst,Manufacturing,Dallas,EMP10005,"Guzman, Hoffman and Baldwin",Placed,2024-11-15,119240
JS10045,Deborah Clark,50,Female,Masters,Accountant,Finance,New York,EMP10461,Strickland-Shaw,Placed,2024-10-19,96256
JS10046,Mark Jimenez,25,Male,Bachelors,SEO Analyst,Marketing,San Francisco,EMP10354,"Morris, Thompson and Williams",Not Placed,,0
JS10047,Donna Frye,29,Male,Bachelors,Production Manager,Manufacturing,New York,EMP10327,Richards-Carson,Placed,2024-09-14,49066
JS10048,Robert Sullivan,22,Male,Masters,SEO Analyst,Marketing,San Francisco,EMP10382,Bruce-Villegas,Placed,2024-09-03,88028
JS10049,Anthony Gonzales,38,Male,High School,Marketing Specialist,Marketing,Dallas,EMP10019,"Adams, Zuniga and Wong",Not Placed,,0
JS10050,Mr. Lawrence Edwards,39,Female,Bachelors,Data Analyst,IT,Chicago,EMP10466,Cole-Palmer,Not Placed,,0
JS10051,Morgan Valencia,48,Male,Bachelors,Marketing Specialist,Marketing,Miami,EMP10053,Chapman and Sons,Placed,2024-08-12,58346
JS10052,Jacob Hoffman,49,Female,PhD,Marketing Specialist,Marketing,San Francisco,EMP10447,"Henderson, Cox and Cox",Placed,2024-07-12,103206
JS10053,Bryan Cole,49,Male,Bachelors,Pharmacist,Healthcare,Seattle,EMP10345,"Harper, Smith and Buchanan",Not Placed,,0
JS10054,Anthony Dougherty,46,Male,Bachelors,Marketing Specialist,Marketing,Los Angeles,EMP10452,Stanley PLC,Placed,2025-02-09,55423
JS10055,Danielle Grimes,28,Male,Masters,Pharmacist,Healthcare,Seattle,EMP10411,Kim Inc,Not Placed,,0
JS10056,Garrett Lane,28,Male,Bachelors,Pharmacist,Healthcare,Seattle,EMP10036,Rodriguez-Graham,Not Placed,,0
JS10057,Phillip Jimenez,29,Male,Bachelors,Brand Manager,Marketing,Chicago,EMP10486,Jones-Fox,Placed,2024-09-26,68738
JS10058,Shawn Jimenez,29,Male,PhD,Nurse,Healthcare,New York,EMP10308,Armstrong-Andrews,Placed,2024-04-14,121114
JS10059,Kathy Levy,34,Female,Bachelors,Merchandiser,Retail,San Francisco,EMP10132,Spencer-Lee,Placed,2024-06-02,54288
JS10060,Amber Campbell,21,Male,Masters,Brand Manager,Marketing,Miami,EMP10380,Boone LLC,Placed,2024-10-29,83869
JS10061,Martha Ruiz,34,Male,Masters,Medical Assistant,Healthcare,Chicago,EMP10342,"Winters, Newman and Brown",Not Placed,,0
JS10062,Sarah Jordan,44,Female,Bachelors,SEO Analyst,Marketing,Chicago,EMP10209,Holt-Torres,Not Placed,,0
JS10063,Monica Gallagher,38,Male,Bachelors,Merchandiser,Retail,Miami,EMP10468,Wilkerson-Arias,Placed,2024-07-31,58648
JS10064,Anthony Hoffman,30,Male,Masters,Pharmacist,Healthcare,San Francisco,EMP10223,Sheppard LLC,Not Placed,,0
JS10065,Dylan Hughes,40,Female,Bachelors,Merchandiser,Retail,San Francisco,EMP10264,"Lloyd, Mckinney and Collins",Placed,2024-09-01,69529
JS10066,Diana Hays,46,Female,Masters,Medical Assistant,Healthcare,Miami,EMP10327,Richards-Carson,Placed,2024-11-30,66120
JS10067,Betty Davis,47,Other,Bachelors,Nurse,Healthcare,Seattle,EMP10103,"Mckee, Gardner and Davenport",Placed,2024-08-02,41514
JS10068,Gina Mcmillan,28,Other,Bachelors,Production Manager,Manufacturing,Los Angeles,EMP10215,"Washington, Hardy and Bray",Not Placed,,0
JS10069,Christina Hicks,39,Male,Masters,Store Manager,Retail,San Francisco,EMP10076,"Daniels, Adkins and Brown",Placed,2024-09-21,60363
JS10070,Andrew Reeves,49,Female,Masters,Data Analyst,IT,San Francisco,EMP10092,"Smith, Montoya and Evans",Not Placed,,0
JS10071,Kelly Hernandez,43,Male,High School,Financial Analyst,Finance,Los Angeles,EMP10069,Russell Group,Not Placed,,0
JS10072,Brenda Velazquez,42,Male,Bachelors,Pharmacist,Healthcare,Dallas,EMP10422,"Cole, Glass and Cunningham",Not Placed,,0
JS10073,James Jensen,37,Male,Masters,Sales Associate,Retail,Miami,EMP10446,"Osborn, Gaines and Davis",Placed,2025-02-01,76986
JS10074,George Clayton,45,Male,Bachelors,Supply Chain Analyst,Manufacturing,Los Angeles,EMP10323,Taylor and Sons,Placed,2024-10-03,54413
JS10075,Justin Wells Jr.,23,Female,Bachelors,Pharmacist,Healthcare,Dallas,EMP10042,George Group,Placed,2024-07-17,47577
JS10076,Veronica Silva,33,Female,Masters,Data Analyst,IT,Los Angeles,EMP10171,Meadows PLC,Placed,2025-01-14,87248
JS10077,Shelby Soto,22,Male,Bachelors,Supply Chain Analyst,Manufacturing,Miami,EMP10011,Blair PLC,Not Placed,,0
JS10078,Deborah Rios,45,Female,Bachelors,Pharmacist,Healthcare,Seattle,EMP10201,"Barnett, Rogers and Snyder",Not Placed,,0
JS10079,Laura Perez,47,Male,Masters,Librarian,Education,San Francisco,EMP10252,"Graham, Olsen and Costa",Placed,2024-03-30,88562
JS10080,Carolyn Fuller,36,Male,Bachelors,SEO Analyst,Marketing,Miami,EMP10086,Smith PLC,Not Placed,,0
JS10081,Sarah Hernandez,50,Male,Bachelors,Data Analyst,IT,Dallas,EMP10291,Brennan-Johnson,Not Placed,,0
JS10082,Amanda Vaughan,23,Female,High School,Sales Associate,Retail,New York,EMP10135,Mitchell-Jordan,Placed,2024-04-22,28467
JS10083,Jeremy Barnes,35,Male,Masters,Store Manager,Retail,Seattle,EMP10493,Li-Thompson,Not Placed,,0
JS10084,Damon Shaw,29,Female,Bachelors,Brand Manager,Marketing,New York,EMP10493,Li-Thompson,Placed,2024-11-03,61303
JS10085,Shelley Fitzgerald,23,Female,Masters,Production Manager,Manufacturing,San Francisco,EMP10104,"Tran, Jordan and Williams",Not Placed,,0
JS10086,Charles Clark,40,Male,High School,Marketing Specialist,Marketing,Dallas,EMP10491,"Fuller, Ingram and Moss",Placed,2024-07-15,36460
JS10087,Mrs. Jamie Frye DDS,29,Female,Bachelors,Librarian,Education,Miami,EMP10059,Lee-Davis,Not Placed,,0
JS10088,Kimberly Lowe,26,Other,High School,Data Analyst,IT,Dallas,EMP10349,Schroeder-Kramer,Not Placed,,0
JS10089,Melanie Lara,33,Male,Masters,Cybersecurity Specialist,IT,Miami,EMP10430,Ford-Spencer,Placed,2024-06-21,66678
JS10090,Cheryl Wright,43,Female,Masters,Teacher,Education,Seattle,EMP10292,Young Ltd,Not Placed,,0
JS10091,Courtney Dudley,32,Male,Masters,Cybersecurity Specialist,IT,Miami,EMP10176,King-Miller,Placed,2024-07-04,87528
JS10092,Michele Vaughn,47,Male,Bachelors,Medical Assistant,Healthcare,Seattle,EMP10238,"Hall, Baker and Moody",Not Placed,,0
JS10093,John Castro DVM,34,Male,Bachelors,SEO Analyst,Marketing,Dallas,EMP10418,Thomas and Sons,Not Placed,,0
JS10094,Donna Berry,45,Male,Bachelors,Brand Manager,Marketing,Chicago,EMP10167,"Hurst, Freeman and Nelson",Not Placed,,0
JS10095,Stephanie Foster,47,Female,Bachelors,Sales Associate,Retail,Seattle,EMP10240,"Walker, Hernandez and Baker",Placed,2024-07-23,61895
JS10096,Regina Roberts,33,Male,Bachelors,Nurse,Healthcare,Los Angeles,EMP10110,Johnson-Doyle,Placed,2024-06-30,48465
JS10097,Angela Bradshaw,31,Male,Bachelors,Medical Assistant,Healthcare,New York,EMP10267,Valentine-Holland,Not Placed,,0
JS10098,Nicole Lewis,23,Male,Bachelors,Teacher,Education,Miami,EMP10246,Navarro-Munoz,Not Placed,,0
JS10099,Denise Hoffman,36,Male,High School,Nurse,Healthcare,Los Angeles,EMP10357,Hayes and Sons,Placed,2024-06-24,35878
JS10100,Luis Matthews,39,Male,Bachelors,Pharmacist,Healthcare,Miami,EMP10284,"Sanford, Rivera and Garcia",Placed,2024-06-13,63031
JS10101,Taylor Perez,35,Male,Bachelors,Cybersecurity Specialist,IT,San Francisco,EMP10163,"Smith, Gilmore and Johnston",Placed,2024-06-09,57559
JS10102,Jason Love,45,Female,Bachelors,SEO Analyst,Marketing,Chicago,EMP10373,Reynolds Ltd,Placed,2024-04-19,64910
JS10103,Brenda Oconnell,37,Female,PhD,Production Manager,Manufacturing,Chicago,EMP10118,Rasmussen LLC,Placed,2025-03-06,119618
JS10104,Matthew Gilmore,21,Female,High School,Software Engineer,IT,Dallas,EMP10151,Salazar-Ball,Not Placed,,0
JS10105,Matthew Avila,25,Female,Masters,Software Engineer,IT,Dallas,EMP10147,Robinson-Brock,Placed,2024-06-30,88866
JS10106,Matthew Velez,31,Male,High School,Quality Engineer,Manufacturing,New York,EMP10425,Welch-Hogan,Placed,2024-04-14,33056
JS10107,Crystal Rodgers,23,Female,Masters,Financial Analyst,Finance,Seattle,EMP10291,Brennan-Johnson,Not Placed,,0
JS10108,Amanda Dorsey,23,Other,High School,Quality Engineer,Manufacturing,Dallas,EMP10308,Armstrong-Andrews,Not Placed,,0
JS10109,Ryan Peck,28,Female,Bachelors,Store Manager,Retail,Seattle,EMP10304,Jones LLC,Not Placed,,0
JS10110,Russell French,30,Female,High School,Marketing Specialist,Marketing,Seattle,EMP10108,Dickson-Brady,Not Placed,,0
JS10111,Paul Brennan,29,Female,Bachelors,Investment Banker,Finance,New York,EMP10082,Sandoval-Cunningham,Placed,2024-07-01,54762
JS10112,Alexandra Bradley,43,Female,Bachelors,Accountant,Finance,Miami,EMP10146,Stafford Inc,Not Placed,,0
JS10113,William Mitchell,35,Male,Bachelors,Medical Assistant,Healthcare,Dallas,EMP10341,Garcia-Jennings,Not Placed,,0
JS10114,Kimberly Snyder DVM,27,Male,Bachelors,Marketing Specialist,Marketing,Chicago,EMP10428,Jones-Lin,Placed,2025-02-04,41954
JS10115,Denise Lamb,26,Female,Bachelors,Supply Chain Analyst,Manufacturing,Chicago,EMP10227,Miller-Wright,Placed,2024-07-17,62566
JS10116,Jimmy Scott,30,Female,Masters,Librarian,Education,Los Angeles,EMP10227,Miller-Wright,Placed,2024-05-22,62612
JS10117,George Phillips,49,Male,Bachelors,Nurse,Healthcare,New York,EMP10119,May-Ross,Not Placed,,0
JS10118,Cheryl Carr,47,Female,Bachelors,Cybersecurity Specialist,IT,Seattle,EMP10139,"Harvey, Davis and Crane",Placed,2024-11-14,65005
JS10119,Samantha Robertson,45,Male,Bachelors,Store Manager,Retail,San Francisco,EMP10302,Estrada-Nolan,Placed,2024-04-13,66681
JS10120,Brandon Holden,36,Other,Bachelors,Store Manager,Retail,Chicago,EMP10346,Zhang PLC,Placed,2024-09-12,45269
JS10121,David Green,31,Male,Bachelors,SEO Analyst,Marketing,Seattle,EMP10393,Webster Inc,Placed,2024-06-10,54903
JS10122,Derek Rivera,23,Male,Bachelors,Quality Engineer,Manufacturing,Seattle,EMP10266,Gay Inc,Not Placed,,0
JS10123,Laura Green,21,Female,Bachelors,Sales Associate,Retail,San Francisco,EMP10268,Jimenez Ltd,Placed,2024-07-28,64787
JS10124,Amy Wilson,36,Female,Masters,Accountant,Finance,Dallas,EMP10068,Novak and Sons,Not Placed,,0
JS10125,Jared Shaw,35,Female,Bachelors,Cybersecurity Specialist,IT,Dallas,EMP10414,Cook and Sons,Placed,2025-02-21,45189
JS10126,Patricia Vaughn,30,Female,Bachelors,Software Engineer,IT,Seattle,EMP10473,Moody-Taylor,Placed,2024-11-14,43849
JS10127,Elizabeth Mendez,41,Female,Bachelors,SEO Analyst,Marketing,Dallas,EMP10364,"Kelley, Nguyen and Vang",Placed,2024-06-04,67352
JS10128,Karen Gibson,36,Other,Bachelors,Teacher,Education,Los Angeles,EMP10099,Williams-Cook,Not Placed,,0
JS10129,Jacqueline Miles DVM,37,Female,High School,Data Analyst,IT,Seattle,EMP10408,Roberts-Sullivan,Not Placed,,0
JS10130,Rebecca Petersen,31,Female,Bachelors,Production Manager,Manufacturing,Chicago,EMP10374,"Watson, Anderson and Brown",Placed,2024-12-31,59232
JS10131,Paul Marks,39,Other,Bachelors,Accountant,Finance,Dallas,EMP10250,Ruiz Ltd,Placed,2024-04-11,58085
JS10132,Kelsey Cox,45,Male,Bachelors,Nurse,Healthcare,Miami,EMP10124,"Joyce, Wilson and Lam",Placed,2025-03-02,47653
JS10133,Amy Kelley,48,Female,High School,SEO Analyst,Marketing,Miami,EMP10473,Moody-Taylor,Not Placed,,0
JS10134,Laura Hernandez,33,Other,Masters,Marketing Specialist,Marketing,Los Angeles,EMP10499,"Kennedy, Johnson and Lucas",Placed,2024-07-16,92918
JS10135,Jessica Frazier,39,Male,High School,Quality Engineer,Manufacturing,New York,EMP10272,"Suarez, Shields and Hill",Not Placed,,0
JS10136,Katherine Nolan,21,Female,Bachelors,Marketing Specialist,Marketing,New York,EMP10243,Gonzales-Harrison,Not Placed,,0
JS10137,Anthony Anderson,29,Male,Masters,Marketing Specialist,Marketing,Seattle,EMP10170,Hooper PLC,Not Placed,,0
JS10138,Justin Hansen,48,Male,PhD,Brand Manager,Marketing,Seattle,EMP10252,"Graham, Olsen and Costa",Not Placed,,0
JS10139,Elizabeth Johnson,22,Female,Bachelors,SEO Analyst,Marketing,San Francisco,EMP10385,"Farmer, Dorsey and Bell",Placed,2024-06-17,43225
JS10140,Nichole Lane,45,Female,Masters,Sales Associate,Retail,Miami,EMP10155,"Ramirez, Strickland and Washington",Not Placed,,0
JS10141,Gregory Brown,22,Male,High School,Pharmacist,Healthcare,Los Angeles,EMP10075,Novak PLC,Placed,2024-04-03,31751
JS10142,Andrea Peck,39,Female,Bachelors,Financial Analyst,Finance,Dallas,EMP10451,"Wise, Conley and Stephenson",Placed,2024-03-23,62384
JS10143,Christopher Taylor,28,Male,Bachelors,Accountant,Finance,Miami,EMP10132,Spencer-Lee,Placed,2024-11-15,61851
JS10144,Maria Fisher,21,Female,Bachelors,Medical Assistant,Healthcare,Dallas,EMP10082,Sandoval-Cunningham,Placed,2025-02-20,51323
JS10145,Sergio Knox,39,Male,PhD,SEO Analyst,Marketing,Los Angeles,EMP10437,Ortiz-Morgan,Placed,2024-08-03,130422
JS10146,Victor Baxter,48,Male,Bachelors,Academic Counselor,Education,Dallas,EMP10153,Manning Group,Not Placed,,0
JS10147,Scott Wilson,30,Male,Masters,Store Manager,Retail,New York,EMP10292,Young Ltd,Not Placed,,0
JS10148,Jenna Anderson DVM,45,Female,High School,Librarian,Education,Los Angeles,EMP10431,"Huang, Cole and Pacheco",Not Placed,,0
JS10149,Nicole Good,30,Female,Bachelors,Quality Engineer,Manufacturing,San Francisco,EMP10328,Rodriguez-Hall,Placed,2024-09-06,48212
JS10150,Kimberly Patel,42,Female,Masters,Marketing Specialist,Marketing,Miami,EMP10050,"Harris, Collins and Carney",Not Placed,,0
JS10151,Danielle Reed,41,Male,Masters,Cybersecurity Specialist,IT,Chicago,EMP10377,Schmitt PLC,Placed,2024-06-26,79340
JS10152,Shaun Cannon,31,Female,Bachelors,Investment Banker,Finance,Chicago,EMP10274,Hoover-Campbell,Placed,2024-03-23,48930
JS10153,Jennifer Miranda,47,Male,Masters,Store Manager,Retail,Miami,EMP10451,"Wise, Conley and Stephenson",Placed,2025-02-17,67547
JS10154,Cynthia Jones,35,Other,High School,Investment Banker,Finance,Miami,EMP10348,Willis and Sons,Not Placed,,0
JS10155,Jill Powers,48,Female,Bachelors,Quality Engineer,Manufacturing,New York,EMP10137,"Lewis, Kennedy and Santana",Placed,2025-02-12,54902
JS10156,Patrick Morales,32,Female,Masters,Academic Counselor,Education,Seattle,EMP10329,Harvey PLC,Not Placed,,0
JS10157,Daniel Shields,24,Female,Bachelors,Librarian,Education,Chicago,EMP10474,Lowery-Kennedy,Not Placed,,0
JS10158,Jonathan Roberts,41,Male,Masters,SEO Analyst,Marketing,Miami,EMP10212,King-Martinez,Placed,2025-01-21,62971
JS10159,Laura Ray,22,Male,Bachelors,Software Engineer,IT,Dallas,EMP10070,Hancock Inc,Placed,2025-01-05,52157
JS10160,Erica Turner,42,Female,Masters,Academic Counselor,Education,Dallas,EMP10383,"Austin, Day and Johnson",Not Placed,,0
JS10161,Matthew Walker,49,Male,High School,Merchandiser,Retail,Los Angeles,EMP10486,Jones-Fox,Not Placed,,0
JS10162,Antonio Fry,22,Female,Bachelors,Sales Associate,Retail,Seattle,EMP10187,Sanders-Espinoza,Placed,2025-02-15,62468
JS10163,Casey Shelton,32,Male,PhD,Nurse,Healthcare,Los Angeles,EMP10143,Gibson Ltd,Placed,2024-10-12,96011
JS10164,William David DDS,48,Female,High School,Investment Banker,Finance,Miami,EMP10308,Armstrong-Andrews,Not Placed,,0
JS10165,Emma Butler,22,Female,Bachelors,Investment Banker,Finance,San Francisco,EMP10036,Rodriguez-Graham,Not Placed,,0
JS10166,James Webster,38,Male,Bachelors,Production Manager,Manufacturing,Chicago,EMP10400,Duran LLC,Placed,2024-09-10,69508
JS10167,Darin Mathews,40,Male,Masters,Financial Analyst,Finance,Dallas,EMP10130,Cortez LLC,Not Placed,,0
JS10168,Joel Brown,24,Female,High School,Data Analyst,IT,Seattle,EMP10407,Berry-Mckinney,Placed,2024-08-18,30304
JS10169,Kristin Anderson,21,Male,High School,SEO Analyst,Marketing,Dallas,EMP10059,Lee-Davis,Not Placed,,0
JS10170,Dalton Lucas,36,Male,Bachelors,Teacher,Education,Los Angeles,EMP10260,Dean-Jimenez,Placed,2025-03-04,60155
JS10171,Jacob Nichols,22,Female,Masters,Brand Manager,Marketing,Chicago,EMP10237,Warner-Gibson,Placed,2025-01-27,62041
JS10172,Derrick Nunez,22,Other,Masters,Merchandiser,Retail,New York,EMP10254,"Garcia, Martin and Jenkins",Not Placed,,0
JS10173,Shelly Lopez,35,Male,High School,Teacher,Education,New York,EMP10065,Baxter Inc,Placed,2024-12-31,35372
JS10174,Megan Robinson,39,Male,Bachelors,Librarian,Education,Chicago,EMP10235,Ortiz Ltd,Placed,2024-05-31,54096
JS10175,Felicia Krueger,24,Female,High School,Brand Manager,Marketing,Seattle,EMP10285,Garcia-Lozano,Not Placed,,0
JS10176,Timothy Hayden,27,Male,Masters,Store Manager,Retail,Seattle,EMP10235,Ortiz Ltd,Placed,2024-04-25,66231
JS10177,Nicole Rocha,31,Male,Masters,Nurse,Healthcare,Miami,EMP10478,"Bentley, Lynch and Henderson",Placed,2024-12-06,65978
JS10178,Christine Herman,47,Male,Bachelors,Brand Manager,Marketing,Chicago,EMP10420,Thompson Ltd,Placed,2024-10-11,41965
JS10179,Douglas Owens,39,Other,Bachelors,Marketing Specialist,Marketing,Los Angeles,EMP10183,Jackson-Lawson,Not Placed,,0
JS10180,Elizabeth Ward,45,Male,Masters,Data Analyst,IT,Dallas,EMP10161,Brown-Wall,Placed,2025-02-16,97874
JS10181,Brett Zavala MD,37,Male,Masters,Financial Analyst,Finance,Chicago,EMP10437,Ortiz-Morgan,Placed,2025-01-31,67529
JS10182,Dale Edwards,45,Male,Bachelors,Merchandiser,Retail,Seattle,EMP10424,Hernandez-Jones,Not Placed,,0
JS10183,Sean Figueroa,42,Female,High School,Brand Manager,Marketing,Chicago,EMP10015,Williams and Sons,Placed,2024-03-17,36513
JS10184,Timothy Riley,45,Male,Bachelors,Software Engineer,IT,Seattle,EMP10074,"Stanley, Tucker and Lee",Placed,2024-08-20,53132
JS10185,Craig Hall,23,Male,Bachelors,Software Engineer,IT,Miami,EMP10274,Hoover-Campbell,Placed,2024-10-18,53757
JS10186,Kathryn Pena,35,Male,Bachelors,SEO Analyst,Marketing,Seattle,EMP10488,Williams-Hughes,Placed,2024-12-01,42783
JS10187,Phillip Burns,49,Male,Bachelors,Teacher,Education,Miami,EMP10042,George Group,Placed,2024-12-17,61690
JS10188,Katherine Jackson,34,Male,Bachelors,Nurse,Healthcare,Seattle,EMP10265,Tran Inc,Placed,2025-01-13,54087
JS10189,Charles Payne,24,Male,Masters,Merchandiser,Retail,Miami,EMP10159,Mccarthy Inc,Placed,2024-05-21,85903
JS10190,Kimberly May,40,Male,Bachelors,Financial Analyst,Finance,Seattle,EMP10132,Spencer-Lee,Placed,2024-04-02,43931
JS10191,Sara Jones,21,Male,Bachelors,Accountant,Finance,Dallas,EMP10363,"Hernandez, Martinez and Weber",Placed,2025-01-22,58308
JS10192,Pamela Gutierrez,47,Female,Bachelors,Merchandiser,Retail,New York,EMP10226,Hernandez PLC,Placed,2025-02-01,42551
JS10193,Andrea Hernandez,48,Male,Bachelors,Merchandiser,Retail,Miami,EMP10216,"Carlson, Hooper and Wall",Placed,2024-06-03,53272
JS10194,Jacqueline Williamson,21,Other,Bachelors,Academic Counselor,Education,Seattle,EMP10356,Strickland-Palmer,Not Placed,,0
JS10195,Lisa Webb,23,Male,High School,Merchandiser,Retail,Los Angeles,EMP10271,"Thomas, Lee and Greene",Placed,2024-09-16,39262
JS10196,Joseph Jenkins,30,Female,Bachelors,Production Manager,Manufacturing,New York,EMP10264,"Lloyd, Mckinney and Collins",Not Placed,,0
JS10197,Nathan Nichols,37,Male,Masters,Pharmacist,Healthcare,Miami,EMP10496,Carter Inc,Not Placed,,0
JS10198,Jonathan Wolfe,47,Male,High School,Nurse,Healthcare,San Francisco,EMP10311,"Beltran, Lozano and Mcgee",Placed,2024-08-25,37437
JS10199,Susan Rodriguez,41,Male,PhD,SEO Analyst,Marketing,Los Angeles,EMP10390,Moore-Collins,Placed,2024-04-17,138838
JS10200,Daisy Harvey,42,Female,Bachelors,Brand Manager,Marketing,Chicago,EMP10447,"Henderson, Cox and Cox",Not Placed,,0
JS10201,Hector Norton,31,Male,High School,Merchandiser,Retail,Chicago,EMP10411,Kim Inc,Placed,2024-04-10,25920
JS10202,Jared Cunningham,32,Male,Bachelors,Sales Associate,Retail,New York,EMP10190,"Burke, Martinez and Riggs",Not Placed,,0
